district_name,num_transactions,transaction_amount_rupees,year,state_name,quarter
north and middle andaman district,2137,7955635.917688001,2018,andaman-&-nicobar-islands,4
south andaman district,20136,75411840.8018554,2018,andaman-&-nicobar-islands,4
nicobars district,1485,7180859.354911782,2018,andaman-&-nicobar-islands,4
tiruchirappalli district,5422369,11360010997.109035,2022,tamil-nadu,1
ramanathapuram district,1425024,3361169634.3715773,2022,tamil-nadu,1
krishnagiri district,11729353,20650466208.670742,2022,tamil-nadu,1
cuddalore district,3854898,7328083169.35031,2022,tamil-nadu,1
kancheepuram district,13219354,19642924522.879723,2022,tamil-nadu,1
tiruppur district,12755181,20994558968.024055,2022,tamil-nadu,1
dharmapuri district,4750920,10116593522.472927,2022,tamil-nadu,1
thoothukkudi district,2388242,5004713169.898031,2022,tamil-nadu,1
thanjavur district,2942810,6384285130.794783,2022,tamil-nadu,1
madurai district,7084562,15309320989.586184,2022,tamil-nadu,1
tiruvannamalai district,3659658,7478979872.636584,2022,tamil-nadu,1
salem district,13278693,26325325605.86054,2022,tamil-nadu,1
nagapattinam district,1501440,3137077070.316338,2022,tamil-nadu,1
tirupathur district,3403925,6408532952.989394,2022,tamil-nadu,1
ariyalur district,898502,1840235658.86316,2022,tamil-nadu,1
chennai district,87458453,135444152912.82495,2022,tamil-nadu,1
the nilgiris district,1729884,3144464483.74693,2022,tamil-nadu,1
erode district,6860000,12788323701.473593,2022,tamil-nadu,1
karur district,1831500,3768124397.8555865,2022,tamil-nadu,1
kallakkurichi district,2421741,5048000351.991163,2022,tamil-nadu,1
viluppuram district,2943580,5372428494.6229515,2022,tamil-nadu,1
pudukkottai district,1639483,3677396086.543876,2022,tamil-nadu,1
perambalur district,834022,1744613505.1576376,2022,tamil-nadu,1
coimbatore district,30679187,51963955887.092926,2022,tamil-nadu,1
virudhunagar district,2550440,5676327115.346463,2022,tamil-nadu,1
dindigul district,3965199,8412785022.744812,2022,tamil-nadu,1
sivaganga district,1828509,4101854018.7768383,2022,tamil-nadu,1
tenkasi district,1345693,3196885065.5183153,2022,tamil-nadu,1
chengalpattu district,19802491,27209616572.77708,2022,tamil-nadu,1
kanniyakumari district,2597045,5779300862.137162,2022,tamil-nadu,1
tirunelveli district,2585793,5381065070.681534,2022,tamil-nadu,1
thiruvallur district,21243322,35412374869.409676,2022,tamil-nadu,1
theni district,2063736,4611206982.381892,2022,tamil-nadu,1
ranipet district,2755460,5529848785.373485,2022,tamil-nadu,1
namakkal district,3415879,7554607821.660087,2022,tamil-nadu,1
vellore district,4693455,9294845509.816792,2022,tamil-nadu,1
thiruvarur district,1013347,2334746608.8726997,2022,tamil-nadu,1
tiruchirappalli district,6270815,12634551299.241276,2022,tamil-nadu,2
ramanathapuram district,1634901,3744853011.614974,2022,tamil-nadu,2
krishnagiri district,13942838,24721054679.65894,2022,tamil-nadu,2
cuddalore district,4456802,8117134896.240127,2022,tamil-nadu,2
kancheepuram district,15868496,22731542491.811836,2022,tamil-nadu,2
tiruppur district,15482000,23838727353.104855,2022,tamil-nadu,2
dharmapuri district,5738543,11978363491.184544,2022,tamil-nadu,2
thoothukkudi district,2904687,5842566259.232948,2022,tamil-nadu,2
thanjavur district,3489101,7198941291.2239,2022,tamil-nadu,2
madurai district,8320838,17264493941.688946,2022,tamil-nadu,2
tiruvannamalai district,4281517,8492400732.338126,2022,tamil-nadu,2
salem district,16106627,30338068694.55334,2022,tamil-nadu,2
nagapattinam district,1780491,3563820744.073098,2022,tamil-nadu,2
tirupathur district,4039898,7419909368.9099245,2022,tamil-nadu,2
ariyalur district,1018572,2099380930.1451182,2022,tamil-nadu,2
chennai district,105344784,154665269695.64178,2022,tamil-nadu,2
the nilgiris district,2334296,4192820800.6586566,2022,tamil-nadu,2
erode district,8037374,14313011584.19171,2022,tamil-nadu,2
karur district,2130679,4285560062.068948,2022,tamil-nadu,2
kallakkurichi district,2827472,5639207666.8493,2022,tamil-nadu,2
viluppuram district,3359417,5986428096.992262,2022,tamil-nadu,2
pudukkottai district,1893795,4133146343.311369,2022,tamil-nadu,2
perambalur district,969247,1942588737.1276388,2022,tamil-nadu,2
coimbatore district,36695888,59260276493.12476,2022,tamil-nadu,2
virudhunagar district,3078392,6563589359.971757,2022,tamil-nadu,2
dindigul district,4742064,9862085177.478687,2022,tamil-nadu,2
sivaganga district,2113451,4572110215.1412115,2022,tamil-nadu,2
tenkasi district,1627020,3744115676.153031,2022,tamil-nadu,2
chengalpattu district,25456618,33118244166.51247,2022,tamil-nadu,2
kanniyakumari district,3119680,6825432728.488245,2022,tamil-nadu,2
tirunelveli district,3088831,6293477478.325724,2022,tamil-nadu,2
thiruvallur district,25490825,40588215771.8699,2022,tamil-nadu,2
theni district,2444576,5292036888.261049,2022,tamil-nadu,2
ranipet district,3219805,6359870289.317292,2022,tamil-nadu,2
namakkal district,4127139,8629035859.175919,2022,tamil-nadu,2
vellore district,5911444,11364769190.93938,2022,tamil-nadu,2
thiruvarur district,1158014,2517626211.7731895,2022,tamil-nadu,2
