district_name,num_registered_users,num_app_opens,year,state_name,quarter
madurai district,820952,18688722,2022,tamil-nadu,1
tiruvannamalai district,489026,28400548,2022,tamil-nadu,1
salem district,905104,31202884,2022,tamil-nadu,1
nagapattinam district,226781,9648543,2022,tamil-nadu,1
tirupathur district,317064,12811064,2022,tamil-nadu,1
ariyalur district,134075,8238011,2022,tamil-nadu,1
chennai district,2388315,10870012,2022,tamil-nadu,1
the nilgiris district,173188,9788145,2022,tamil-nadu,1
erode district,589462,16683133,2022,tamil-nadu,1
karur district,222853,16310834,2022,tamil-nadu,1
kallakkurichi district,306623,15612591,2022,tamil-nadu,1
viluppuram district,379264,17225194,2022,tamil-nadu,1
pudukkottai district,237115,22854053,2022,tamil-nadu,1
perambalur district,112667,8040859,2022,tamil-nadu,1
coimbatore district,1687096,27741808,2022,tamil-nadu,1
virudhunagar district,346363,17177364,2022,tamil-nadu,1
dindigul district,440072,27821213,2022,tamil-nadu,1
sivaganga district,241188,20384928,2022,tamil-nadu,1
tenkasi district,204182,9468909,2022,tamil-nadu,1
chengalpattu district,1621177,16221250,2022,tamil-nadu,1
kanniyakumari district,370820,5009074,2022,tamil-nadu,1
tirunelveli district,338716,13100432,2022,tamil-nadu,1
thiruvallur district,1970646,24538065,2022,tamil-nadu,1
theni district,245438,12750343,2022,tamil-nadu,1
ranipet district,325358,10227642,2022,tamil-nadu,1
namakkal district,399282,14545554,2022,tamil-nadu,1
vellore district,449961,11694691,2022,tamil-nadu,1
thiruvarur district,170694,9618776,2022,tamil-nadu,1
tiruchirappalli district,725751,23738205,2022,tamil-nadu,2
ramanathapuram district,222241,19935706,2022,tamil-nadu,2
krishnagiri district,818552,49292179,2022,tamil-nadu,2
cuddalore district,556402,17547836,2022,tamil-nadu,2
kancheepuram district,1220237,12030323,2022,tamil-nadu,2
tiruppur district,1070480,29868571,2022,tamil-nadu,2
dharmapuri district,427150,34230475,2022,tamil-nadu,2
thoothukkudi district,345560,20332081,2022,tamil-nadu,2
thanjavur district,470070,14935622,2022,tamil-nadu,2
madurai district,864806,22632794,2022,tamil-nadu,2
tiruvannamalai district,516276,33126041,2022,tamil-nadu,2
salem district,954155,35441956,2022,tamil-nadu,2
nagapattinam district,239174,11263032,2022,tamil-nadu,2
tirupathur district,334378,15520642,2022,tamil-nadu,2
ariyalur district,141760,9886229,2022,tamil-nadu,2
chennai district,2509588,9484073,2022,tamil-nadu,2
the nilgiris district,182412,13365582,2022,tamil-nadu,2
erode district,621587,20007565,2022,tamil-nadu,2
karur district,235178,21185242,2022,tamil-nadu,2
kallakkurichi district,324021,17183000,2022,tamil-nadu,2
viluppuram district,400301,18554839,2022,tamil-nadu,2
pudukkottai district,250443,28296586,2022,tamil-nadu,2
